SEMANA;CODIGO_COMUNA;PASO
2021-03-08;3301;3
2021-03-15;3301;2
2021-03-22;3301;2
2021-03-29;3301;2
2021-04-05;3301;1
2021-04-12;3301;1
2021-04-19;3301;1
2021-04-26;3301;1
2021-05-03;3301;1
2020-07-27;3302;3
2020-08-03;3302;3
2020-08-10;3302;3
2020-08-17;3302;3
2020-08-24;3302;3
2020-08-31;3302;3
2020-09-07;3302;3
2020-09-14;3302;3
2020-09-21;3302;3
2020-09-28;3302;3
2020-10-05;3302;3
2020-10-12;3302;3
2020-10-19;3302;3
2020-10-26;3302;3
2020-11-02;3302;3
2020-11-09;3302;3
2020-11-16;3302;3
2020-11-23;3302;3
2020-11-30;3302;3
2020-12-07;3302;3
2020-12-14;3302;4
2020-12-21;3302;4
2020-12-28;3302;4
2021-01-04;3302;4
2021-01-11;3302;3
2021-01-18;3302;3
2021-01-25;3302;3
2021-02-01;3302;3
2021-02-08;3302;3
2021-02-15;3302;3
2021-02-22;3302;3
2021-03-01;3302;3
2021-03-08;3302;3
2021-03-15;3302;3
2021-03-22;3302;2
2021-03-29;3302;2
2021-04-05;3302;2
2021-04-12;3302;2
2021-04-19;3302;2
2021-04-26;3302;2
2021-05-03;3302;2
2020-07-27;3303;3
2020-08-03;3303;3
2020-08-10;3303;3
2020-08-17;3303;3
2020-08-24;3303;3
2020-08-31;3303;3
2020-09-07;3303;3
2020-09-14;3303;3
2020-09-21;3303;3
2020-09-28;3303;3
2020-10-05;3303;3
2020-10-12;3303;3
2020-10-19;3303;3
2020-10-26;3303;3
2020-11-02;3303;3
2020-11-09;3303;3
2020-11-16;3303;3
2020-11-23;3303;3
2020-11-30;3303;3
2020-12-07;3303;3
2020-12-14;3303;4
2020-12-21;3303;4
2020-12-28;3303;4
2021-01-04;3303;4
2021-01-11;3303;3
2021-01-18;3303;3
2021-01-25;3303;3
2021-02-01;3303;2
2021-02-08;3303;2
2021-02-15;3303;2
2021-02-22;3303;2
2021-03-01;3303;2
2021-03-08;3303;2
2021-03-15;3303;2
2021-03-22;3303;2
2021-03-29;3303;2
2021-04-05;3303;2
2021-04-12;3303;3
2021-04-19;3303;3
2021-04-26;3303;2
2021-05-03;3303;2
2020-07-27;3304;3
2020-08-03;3304;3
2020-08-10;3304;3
2020-08-17;3304;3
2020-08-24;3304;3
2020-08-31;3304;3
2020-09-07;3304;3
2020-09-14;3304;3
2020-09-21;3304;3
2020-09-28;3304;3
2020-10-05;3304;3
2020-10-12;3304;3
2020-10-19;3304;3
2020-10-26;3304;3
2020-11-02;3304;3
2020-11-09;3304;3
2020-11-16;3304;3
2020-11-23;3304;3
2020-11-30;3304;3
2020-12-07;3304;3
2020-12-14;3304;4
2020-12-21;3304;4
2020-12-28;3304;4
2021-01-04;3304;4
2021-01-11;3304;3
2021-01-18;3304;3
2021-01-25;3304;3
2021-02-01;3304;2
2021-02-08;3304;2
2021-02-15;3304;2
2021-02-22;3304;2
2021-03-01;3304;2
2021-03-08;3304;2
2021-03-15;3304;1
2021-03-22;3304;1
2021-03-29;3304;1
2021-04-05;3304;1
2021-04-12;3304;2
2021-04-19;3304;3
2021-04-26;3304;3
2021-05-03;3304;3
2020-07-27;4101;1
2020-08-03;4101;1
2020-08-10;4101;1
2020-08-17;4101;1
2020-08-24;4101;1
2020-08-31;4101;1
2020-09-07;4101;1
2020-09-14;4101;1
2020-09-21;4101;1
2020-09-28;4101;2
2020-10-05;4101;2
2020-10-12;4101;2
2020-10-19;4101;3
2020-10-26;4101;3
2020-11-02;4101;4
2020-11-09;4101;4
2020-11-16;4101;4
2020-11-23;4101;4
2020-11-30;4101;4
2020-12-07;4101;4
2020-12-14;4101;4
2020-12-21;4101;4
2020-12-28;4101;4
2021-01-04;4101;3
2021-01-11;4101;3
2021-01-18;4101;3
2021-01-25;4101;2
2021-02-01;4101;2
2021-02-08;4101;2
2021-02-15;4101;2
2021-02-22;4101;2
2021-03-01;4101;2
2021-03-08;4101;1
2021-03-15;4101;1
2021-03-22;4101;1
2021-03-29;4101;1
2021-04-05;4101;1
2021-04-12;4101;1
2021-04-19;4101;2
2021-04-26;4101;2
2021-05-03;4101;2
2020-07-27;4102;1
2020-08-03;4102;1
2020-08-10;4102;1
2020-08-17;4102;1
2020-08-24;4102;1
2020-08-31;4102;1
2020-09-07;4102;1
2020-09-14;4102;1
2020-09-21;4102;1
2020-09-28;4102;2
2020-10-05;4102;2
2020-10-12;4102;2
2020-10-19;4102;3
2020-10-26;4102;3
2020-11-02;4102;4
2020-11-09;4102;4
2020-11-16;4102;4
2020-11-23;4102;4
2020-11-30;4102;4
2020-12-07;4102;4
2020-12-14;4102;4
2020-12-21;4102;4
2020-12-28;4102;4
2021-01-04;4102;3
2021-01-11;4102;3
2021-01-18;4102;3
2021-01-25;4102;2
2021-02-01;4102;2
2021-02-08;4102;2
2021-02-15;4102;2
2021-02-22;4102;2
2021-03-01;4102;2
2021-03-08;4102;1
2021-03-15;4102;1
2021-03-22;4102;1
2021-03-29;4102;1
2021-04-05;4102;1
2021-04-12;4102;1
2021-04-19;4102;2
2021-04-26;4102;2
2021-05-03;4102;2
2020-07-27;4103;3
2020-08-03;4103;3
2020-08-10;4103;3
2020-08-17;4103;3
2020-08-24;4103;3
2020-08-31;4103;3
2020-09-07;4103;3
2020-09-14;4103;3
2020-09-21;4103;3
2020-09-28;4103;3
2020-10-05;4103;3
2020-10-12;4103;3
2020-10-19;4103;3
2020-10-26;4103;3
2020-11-02;4103;4
2020-11-09;4103;4
2020-11-16;4103;4
2020-11-23;4103;4
2020-11-30;4103;4
2020-12-07;4103;4
2020-12-14;4103;4
2020-12-21;4103;4
2020-12-28;4103;4
2021-01-04;4103;4
2021-01-11;4103;3
2021-01-18;4103;3
2021-01-25;4103;3
2021-02-01;4103;3
2021-02-08;4103;2
2021-02-15;4103;2
2021-02-22;4103;2
2021-03-01;4103;2
2021-03-08;4103;2
2021-03-15;4103;2
2021-03-22;4103;3
2021-03-29;4103;3
2021-04-05;4103;2
2021-04-12;4103;2
2021-04-19;4103;3
2021-04-26;4103;3
2021-05-03;4103;3
2020-07-27;4104;3
2020-08-03;4104;3
2020-08-10;4104;3
2020-08-17;4104;3
2020-08-24;4104;3
2020-08-31;4104;3
2020-09-07;4104;3
2020-09-14;4104;3
2020-09-21;4104;3
